run,number_of_reads
Tps_05_L8_OBIWAN_310_R1,44005926
Tps_05_L8_OBIWAN_310_R2,44005926
Tps_05_L8_OBIWAN_310_se,6857559
Tsi_01_L1_OBIWAN_312_R1,30306826
Tsi_01_L1_OBIWAN_312_R2,30306826
Tsi_01_L1_OBIWAN_312_se,4248525
Tsi_01_L6_OBIWAN_307_R1,30146751
Tsi_01_L6_OBIWAN_307_R2,30146751
Tsi_01_L6_OBIWAN_307_se,6022282
Tsi_01_L6_OBIWAN_310_R1,35417623
Tsi_01_L6_OBIWAN_310_R2,35417623
Tsi_01_L6_OBIWAN_310_se,5464144
Tsi_02_L1_OBIWAN_312_R1,30186278
Tsi_02_L1_OBIWAN_312_R2,30186278
Tsi_02_L1_OBIWAN_312_se,4768447
Tsi_02_L6_OBIWAN_307_R1,29248124
Tsi_02_L6_OBIWAN_307_R2,29248124
Tsi_02_L6_OBIWAN_307_se,6900894
Tsi_02_L6_OBIWAN_310_R1,34698308
Tsi_02_L6_OBIWAN_310_R2,34698308
Tsi_02_L6_OBIWAN_310_se,6151045
Tsi_03_L1_OBIWAN_312_R1,37895021
Tsi_03_L1_OBIWAN_312_R2,37895021
Tsi_03_L1_OBIWAN_312_se,4900805
Tsi_03_L6_OBIWAN_307_R1,38205982
Tsi_03_L6_OBIWAN_307_R2,38205982
Tsi_03_L6_OBIWAN_307_se,7155239
Tsi_03_L6_OBIWAN_310_R1,44793309
Tsi_03_L6_OBIWAN_310_R2,44793309
Tsi_03_L6_OBIWAN_310_se,6402875
Tsi_04_L1_OBIWAN_312_R1,35103895
Tsi_04_L1_OBIWAN_312_R2,35103895
Tsi_04_L1_OBIWAN_312_se,3945808
Tsi_04_L6_OBIWAN_307_R1,35714903
Tsi_04_L6_OBIWAN_307_R2,35714903
Tsi_04_L6_OBIWAN_307_se,5628442
Tsi_04_L6_OBIWAN_310_R1,41602452
Tsi_04_L6_OBIWAN_310_R2,41602452
Tsi_04_L6_OBIWAN_310_se,5083648
Tsi_05_L1_OBIWAN_312_R1,41434223
Tsi_05_L1_OBIWAN_312_R2,41434223
Tsi_05_L1_OBIWAN_312_se,4857963
Tsi_05_L6_OBIWAN_307_R1,42460945
Tsi_05_L6_OBIWAN_307_R2,42460945
Tsi_05_L6_OBIWAN_307_se,7067236
Tsi_05_L6_OBIWAN_310_R1,49344986
Tsi_05_L6_OBIWAN_310_R2,49344986
Tsi_05_L6_OBIWAN_310_se,6399823
Tte_01_L1_OBIWAN_314_R1,37155988
Tte_01_L1_OBIWAN_314_R2,37155988
Tte_01_L1_OBIWAN_314_se,6947730
Tte_01_L3_OBIWAN_309_R1,34613286
Tte_01_L3_OBIWAN_309_R2,34613286
Tte_01_L3_OBIWAN_309_se,5303155
Tte_01_L5_OBIWAN_314_R1,36952337
Tte_01_L5_OBIWAN_314_R2,36952337
Tte_01_L5_OBIWAN_314_se,7210054
Tte_02_L1_OBIWAN_314_R1,39575003
Tte_02_L1_OBIWAN_314_R2,39575003
Tte_02_L1_OBIWAN_314_se,7486154
Tte_02_L3_OBIWAN_309_R1,36937769
